source,filename,path,bytes,sha256,rows,row_groups,schema_signature,selected_text_column,null_text_count,included_in_core,local_core_path,local_core_sha256,local_copy_matches_source
anl-news,train-00000-of-00004.parquet,C:\Users\User\OneDrive\Desktop\DOLLMA\anl-news\train-00000-of-00004.parquet,229533403,4f6819820e4b67a124d34bdfa272d0d6939491b9de0e45839093f916da75f63f,59111,60,b8e2717048a19f3572708d1c7cbbad037d7e71fdfa4a88fcb9198910a04c3f8d,text,0,True,C:\Users\User\OneDrive\Desktop\azerbaijani-positional-encoding\data\raw\DOLLMA\anl-news\train-00000-of-00004.parquet,4f6819820e4b67a124d34bdfa272d0d6939491b9de0e45839093f916da75f63f,True
anl-news,train-00001-of-00004.parquet,C:\Users\User\OneDrive\Desktop\DOLLMA\anl-news\train-00001-of-00004.parquet,133824909,a8cdfc5769d8b55f7e43ca303875446db2d4848bbc38c3cf87d1d06647a26b28,59111,60,b8e2717048a19f3572708d1c7cbbad037d7e71fdfa4a88fcb9198910a04c3f8d,text,0,True,C:\Users\User\OneDrive\Desktop\azerbaijani-positional-encoding\data\raw\DOLLMA\anl-news\train-00001-of-00004.parquet,a8cdfc5769d8b55f7e43ca303875446db2d4848bbc38c3cf87d1d06647a26b28,True
anl-news,train-00002-of-00004.parquet,C:\Users\User\OneDrive\Desktop\DOLLMA\anl-news\train-00002-of-00004.parquet,172072491,f2c06f2ad9a85791253b5d5e504c89c0fe1d5827ddec97895486ff40fbd612eb,59111,60,b8e2717048a19f3572708d1c7cbbad037d7e71fdfa4a88fcb9198910a04c3f8d,text,0,True,C:\Users\User\OneDrive\Desktop\azerbaijani-positional-encoding\data\raw\DOLLMA\anl-news\train-00002-of-00004.parquet,f2c06f2ad9a85791253b5d5e504c89c0fe1d5827ddec97895486ff40fbd612eb,True
anl-news,train-00003-of-00004.parquet,C:\Users\User\OneDrive\Desktop\DOLLMA\anl-news\train-00003-of-00004.parquet,238162688,15098a9f56deae922c96a5c9e69e6f7f431f6dae8f1b615bb49953f48a761e9f,59110,60,b8e2717048a19f3572708d1c7cbbad037d7e71fdfa4a88fcb9198910a04c3f8d,text,0,True,C:\Users\User\OneDrive\Desktop\azerbaijani-positional-encoding\data\raw\DOLLMA\anl-news\train-00003-of-00004.parquet,15098a9f56deae922c96a5c9e69e6f7f431f6dae8f1b615bb49953f48a761e9f,True
azwiki,train-00000-of-00001.parquet,C:\Users\User\OneDrive\Desktop\DOLLMA\azwiki\train-00000-of-00001.parquet,204669909,ad18fbc3eb577060df69abdea5f8e052d7f729deafdb72902f0fefbb6ddd2d58,129433,130,0e6da4b3ab104cd7c89b28e3a7b441b351f36fb3995d5793ab3b00ba94c9167b,text,0,True,C:\Users\User\OneDrive\Desktop\azerbaijani-positional-encoding\data\raw\DOLLMA\azwiki\train-00000-of-00001.parquet,ad18fbc3eb577060df69abdea5f8e052d7f729deafdb72902f0fefbb6ddd2d58,True
elite-blogs,train-00000-of-00001.parquet,C:\Users\User\OneDrive\Desktop\DOLLMA\elite-blogs\train-00000-of-00001.parquet,4031201,952ab2086ac64f1134052b125e6a367599f3b440df9186e1224fd8282b38ef92,755,1,c36703d4b1b8a0cfa1240b0a73a651ff2d7618fc457494cf6d5e75cb1b05738c,text,0,True,C:\Users\User\OneDrive\Desktop\azerbaijani-positional-encoding\data\raw\DOLLMA\elite-blogs\train-00000-of-00001.parquet,952ab2086ac64f1134052b125e6a367599f3b440df9186e1224fd8282b38ef92,True
elite-books,train-00000-of-00001.parquet,C:\Users\User\OneDrive\Desktop\DOLLMA\elite-books\train-00000-of-00001.parquet,22016093,650b018377e33885412ad95ebbcf57575685a037e9274cbe44f8887ea81078ff,104,1,e42c62404bd3d323b9f150a5262848241106e220f00f6c6817ef3bd43e99df1f,text,0,True,C:\Users\User\OneDrive\Desktop\azerbaijani-positional-encoding\data\raw\DOLLMA\elite-books\train-00000-of-00001.parquet,650b018377e33885412ad95ebbcf57575685a037e9274cbe44f8887ea81078ff,True
eqanun,train-00000-of-00001.parquet,C:\Users\User\OneDrive\Desktop\DOLLMA\eqanun\train-00000-of-00001.parquet,149151917,610987763a4af34af6355bb222e7a8a34e4dea8a5e0ec3621e788839a1ccf381,53656,54,a535fa13f7f66740f5d64f30d50cb27524fadd78b05a786f21c09af915cc7e7d,text,0,True,C:\Users\User\OneDrive\Desktop\azerbaijani-positional-encoding\data\raw\DOLLMA\eqanun\train-00000-of-00001.parquet,610987763a4af34af6355bb222e7a8a34e4dea8a5e0ec3621e788839a1ccf381,True
mediocore-books,train-00000-of-00006.parquet,C:\Users\User\OneDrive\Desktop\DOLLMA\mediocore-books\train-00000-of-00006.parquet,113495846,185e871a268931d802db59f78b550e0fc723c57fbc10f383b830b7abf42838e7,1301211,1302,9a62bf5b9b7fd50b6d07f0d10695292df7c11742e86c2ad5d7654d2008a7cd72,text,0,True,C:\Users\User\OneDrive\Desktop\azerbaijani-positional-encoding\data\raw\DOLLMA\mediocore-books\train-00000-of-00006.parquet,185e871a268931d802db59f78b550e0fc723c57fbc10f383b830b7abf42838e7,True
mediocore-books,train-00001-of-00006.parquet,C:\Users\User\OneDrive\Desktop\DOLLMA\mediocore-books\train-00001-of-00006.parquet,119108768,b86e1fc473ee4433904c9a73d71e290057cec5da63f11044510254242fb78852,1301211,1302,9a62bf5b9b7fd50b6d07f0d10695292df7c11742e86c2ad5d7654d2008a7cd72,text,0,True,C:\Users\User\OneDrive\Desktop\azerbaijani-positional-encoding\data\raw\DOLLMA\mediocore-books\train-00001-of-00006.parquet,b86e1fc473ee4433904c9a73d71e290057cec5da63f11044510254242fb78852,True
