pe,milestone,actual_tokens,mean_nll,seed_sd_nll
learned,5m,5046272,7.69571774321034,0.031268472451053006
learned,10m,10027008,6.899980744851727,0.0062858418065228246
learned,20m,20054016,6.239322821067795,0.018283698450125504
learned,50m,50000000,5.781296621605496,0.008510364096694614
sinusoidal,5m,5046272,8.231390949548018,0.0009465227588978585
sinusoidal,10m,10027008,8.22025630635829,0.0008811407018073
sinusoidal,20m,20054016,7.546662212980221,0.019368697688553697
sinusoidal,50m,50000000,6.8726041265852515,0.02591421283373598
rope,5m,5046272,7.392855749787391,0.016592555810307115
rope,10m,10027008,6.5941947827430365,0.014740112964835895
rope,20m,20054016,5.9708983754547535,0.011996587029936601
rope,50m,50000000,5.520914390930559,0.006047176347854759
alibi,5m,5046272,7.365931302329981,0.012112785092770176
alibi,10m,10027008,6.527221462787527,0.0141851269570858
alibi,20m,20054016,5.889735847904392,0.013029552013928618
alibi,50m,50000000,5.421267229257807,0.0058270493594058375
nope,5m,5046272,7.39138078990963,0.0162284705496078
nope,10m,10027008,6.598119203794447,0.014150860464428141
nope,20m,20054016,6.005829168722913,0.011101681385425336
nope,50m,50000000,5.637608659524089,0.004599271853580659
