pe,milestone,actual_tokens,mean_nll,seed_sd_nll,mean_ppl_from_nll,descriptive_rank,nll_reduction_from_5m
learned,5m,5046272,7.69571774321034,0.031268472451053006,2198.9114978706166,4.0,0.0
sinusoidal,5m,5046272,8.231390949548018,0.0009465227588978585,3757.055994647774,5.0,0.0
rope,5m,5046272,7.392855749787391,0.016592555810307115,1624.3381992130383,3.0,0.0
alibi,5m,5046272,7.365931302329981,0.012112785092770176,1581.1873044498282,1.0,0.0
nope,5m,5046272,7.39138078990963,0.0162284705496078,1621.9441315521822,2.0,0.0
learned,10m,10027008,6.899980744851727,0.0062858418065228246,992.2556093921966,4.0,0.7957369983586124
sinusoidal,10m,10027008,8.22025630635829,0.0008811407018073,3715.4545551085534,5.0,0.011134643189727456
rope,10m,10027008,6.5941947827430365,0.014740112964835895,730.8401645848736,2.0,0.7986609670443547
alibi,10m,10027008,6.527221462787527,0.0141851269570858,683.4964503363955,1.0,0.8387098395424539
nope,10m,10027008,6.598119203794447,0.014150860464428141,733.7139243453875,3.0,0.7932615861151833
learned,20m,20054016,6.239322821067795,0.018283698450125504,512.511331528576,4.0,1.456394922142545
sinusoidal,20m,20054016,7.546662212980221,0.019368697688553697,1894.4090330711254,5.0,0.6847287365677968
rope,20m,20054016,5.9708983754547535,0.011996587029936601,391.85754787010467,2.0,1.4219573743326377
alibi,20m,20054016,5.889735847904392,0.013029552013928618,361.3098310167123,1.0,1.4761954544255893
nope,20m,20054016,6.005829168722913,0.011101681385425336,405.7873154304529,3.0,1.3855516211867167
learned,50m,50000000,5.781296621605496,0.008510364096694614,324.1792558526232,4.0,1.9144211216048435
sinusoidal,50m,50000000,6.8726041265852515,0.02591421283373598,965.4594737145139,5.0,1.3587868229627666
rope,50m,50000000,5.520914390930559,0.006047176347854759,249.86340559673826,2.0,1.8719413588568319
alibi,50m,50000000,5.421267229257807,0.0058270493594058375,226.16554457768305,1.0,1.9446640730721745
nope,50m,50000000,5.637608659524089,0.004599271853580659,280.79044941660027,3.0,1.7537721303855411
